Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
0,003211021;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,023211;0,9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,04321098;1,8;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,06321096;2,7;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,08321095;3,6;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,1032109;4,5;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,1232109;5,4;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,1432109;6,3;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,1632109;7,2;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,1832108;8,1;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,2032108;9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,2232108;9,9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,2432108;10,8;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,2632108;11,7;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,2832112;12,6;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,3032112;13,5;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,3232112;14,4;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,3432112;15,3;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,3632112;16,2;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,3832111;17,1;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,4032111;18;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,4232111;18,9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,4432111;19,8;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,4632111;20,7;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,483211;21,6;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,503211;22,5;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,523211;23,4;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,543211;24,3;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,563211;25,2;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,5832109;26,1;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,6032109;27;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,6232109;27,9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,6432109;28,8;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,6632109;29,7;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,6832108;30,6;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,7032108;31,5;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,7232108;32,4;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,7432108;33,3;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,7632108;34,2;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,7832108;35,1;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,8032112;36;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,8232112;36,9;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,8432112;37,8;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,8632112;38,7;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,8832111;39,6;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,9032111;40,5;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,9232111;41,4;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,9432111;42,3;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,9632111;43,2;0; ;0;0;0;0;0;0;0;0;0;0;0;0
0,983211;44,1;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,003211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,023211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,043211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,063211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,083211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,103211;45;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,123211;44,99995;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,143211;44,99989;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,163211;44,99989;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,183211;44,99989;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,203211;44,99989;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,223211;44,99989;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,243211;44,99984;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,263211;44,99981;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,283211;44,99981;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,303211;44,99964;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,323211;44,99964;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,343211;44,9995;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,363211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,383211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,403211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,423211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,443211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,463211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,483211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
1,503211;44,99945;0; ;0;0;0;0;0;0;0;0;0;0;0;0
