Scenario_SimpleLine(Clone)_2
Time;Consigne
6,44;-66,42011
6,46;-66,26011
6,48;-66,10011
6,5;-65,9401
6,52;-65,7801
6,54;-65,62009
6,56;-65,46009
6,58;-65,30009
6,6;-65,14008
6,62;-64,98008
6,64;-64,82008
6,66;-64,66007
6,68;-64,50007
6,7;-64,34007
6,72;-64,18006
6,74;-64,02006
6,76;-63,86006
6,78;-63,70006
6,8;-63,54006
6,82;-63,38006
6,84;-63,22006
6,86;-63,06006
6,88;-62,90006
6,9;-62,74006
6,92;-62,58006
6,94;-62,42006
6,96;-62,26006
6,98;-62,10006
7;-61,94006
7,02;-61,78006
7,04;-61,62006
7,06;-61,46006
7,08;-61,30006
7,1;-61,14006
7,12;-60,98006
7,14;-60,82006
7,16;-60,66006
7,18;-60,50006
7,2;-60,34006
7,22;-60,18006
7,24;-60,02006
7,26;-59,86006
7,28;-59,70006
7,3;-59,54006
7,32;-59,38006
7,34;-59,22006
7,36;-59,06006
7,38;-58,90006
7,4;-58,74006
7,42;-58,58006
7,44;-58,42006
7,46;-58,26006
7,48;-58,10006
7,5;-57,94006
7,52;-57,78006
7,54;-57,62006
7,56;-57,46006
7,58;-57,30006
7,6;-57,14006
7,62;-56,98006
7,64;-56,82006
7,66;-56,66006
7,68;-56,50006
7,7;-56,34007
7,72;-56,18007
7,74;-56,02007
7,76;-55,86007
7,78;-55,70007
7,8;-55,54007
7,82;-55,38007
7,84;-55,22007
7,86;-55,06007
7,88;-54,90007
7,9;-54,74007
7,92;-54,58007
7,94;-54,42007
7,96;-54,26007
7,98;-54,10007
8;-53,94007
8,02;-53,78007
8,04;-53,62007
8,059999;-53,46007
8,08;-53,30007
8,099999;-53,14007
8,12;-52,98007
8,139999;-52,82007
8,16;-52,66007
8,179999;-52,50007
8,2;-52,34007
8,22;-52,18007
8,24;-52,02007
8,26;-51,86007
8,28;-51,70007
8,3;-51,54007
8,32;-51,38007
8,34;-51,22007
8,36;-51,06007
8,38;-50,90007
8,4;-50,74007
8,42;-50,58007
8,44;-50,42007
8,46;-50,26007
8,48;-50,10007
8,5;-49,94007
8,52;-49,78007
8,54;-49,62007
8,559999;-49,46007
8,58;-49,30007
8,599999;-49,14007
8,62;-48,98007
8,639999;-48,82007
8,66;-48,66007
8,679999;-48,50007
8,7;-48,34007
8,72;-48,18007
8,74;-48,02007
8,76;-47,86007
8,78;-47,70007
8,8;-47,54007
8,82;-47,38007
8,84;-47,22007
8,86;-47,06007
8,88;-46,90007
8,9;-46,74007
8,92;-46,58007

