Scenario_SimpleLine(Clone)_3
Time;Consigne
7,18;285,0744
7,2;287,0344
7,22;288,9944
7,24;290,9544
7,26;292,9144
7,28;294,8744
7,3;296,8344
7,32;298,7943
7,34;300,7543
7,36;302,7143
7,38;304,6743
7,4;306,6343
7,42;308,5943
7,44;310,5543
7,46;312,5143
7,48;314,4743
7,5;316,4343
7,52;318,3943
7,54;320,3542
7,56;322,3142
7,58;324,2742
7,6;326,2342
7,62;328,1942
7,64;330,1542
7,66;332,1142
7,68;334,0742
7,7;336,0342
7,72;337,9942
7,74;339,9542
7,76;341,9142
7,78;343,8741
7,8;345,8341
7,82;347,7941
7,84;349,7541
7,86;351,7141
7,88;353,6741
7,9;355,6341
7,92;357,5941
7,94;359,5541
7,96;361,5141
7,98;363,4741
8;365,4341
8,02;367,394
8,04;369,354
8,059999;371,314
8,08;373,274
8,099999;375,234
8,12;377,194
8,139999;379,154
8,16;381,114
8,179999;383,074
8,2;385,034
8,22;386,994
8,24;388,9539
8,26;390,9139
8,28;392,8739
8,3;394,8339
8,32;396,7939
8,34;398,7539
8,36;400,7139
8,38;402,6739
8,4;404,6339
8,42;406,5939
8,44;408,5539
8,46;410,5139
8,48;412,4738
8,5;414,4338
8,52;416,3938
8,54;418,3538
8,559999;420,3138
8,58;422,2738
8,599999;424,2338
8,62;426,1938
8,639999;428,1538
8,66;430,1138
8,679999;432,0738
8,7;434,0338
8,72;235,9938
8,74;237,9538
8,76;239,9138
8,78;241,8738
8,8;243,8338
8,82;245,7938
8,84;247,7538
8,86;249,7138
8,88;251,6738
8,9;253,6338
8,92;255,5938

